,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,deathstoday,percentdeath,testedtoday,recoveredtoday,percentactive
165,46,Manitoba,Manitoba,18-03-2020,8,7,0.0,15,2739.0,,,2000.0,8.0,114.29,1.1,0.0,0.0,0.0,523.0,,100.0
166,35,Ontario,Ontario,18-03-2020,189,0,1.0,189,13869.0,,,952.0,12.0,6.78,1.3,0.006999999999999999,0.0,0.53,2702.0,,99.47
167,24,Quebec,Québec,18-03-2020,74,0,1.0,74,5880.0,,,693.0,24.0,48.0,0.87,0.012,1.0,1.35,1010.0,,98.65
168,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,18-03-2020,0,3,0.0,3,161.0,,,309.0,2.0,200.0,0.58,0.0,0.0,0.0,0.0,,100.0
169,13,New Brunswick,Nouveau-Brunswick,18-03-2020,2,6,0.0,8,408.0,,,525.0,1.0,14.29,1.03,0.0,0.0,0.0,113.0,,100.0
170,12,Nova Scotia,Nouvelle-Écosse,18-03-2020,1,6,0.0,7,1278.0,,,1316.0,2.0,40.0,0.72,0.0,0.0,0.0,203.0,,100.0
171,11,Prince Edward Island,Île-du-Prince-Édouard,18-03-2020,1,0,0.0,1,75.0,,,478.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,,100.0
172,60,Yukon,Yukon,18-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
173,61,Northwest Territories,Territoires du Nord-Ouest,18-03-2020,0,0,0.0,0,145.0,,,3235.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
174,62,Nunavut,Nunavut,18-03-2020,0,0,0.0,0,7.0,,,181.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
175,99,Repatriated travellers,Voyageurs rapatriés,18-03-2020,9,0,0.0,9,29.0,,,,1.0,12.5,,,0.0,0.0,0.0,,100.0
176,1,Canada,Canada,18-03-2020,569,28,9.0,597,53546.0,,,1425.0,157.0,35.68,1.59,0.024,1.0,1.51,9370.0,,98.49
177,59,British Columbia,Colombie-Britannique,19-03-2020,271,0,8.0,271,16382.0,,,3230.0,85.0,45.7,5.34,0.158,1.0,2.95,2994.0,,97.05
178,48,Alberta,Alberta,19-03-2020,146,0,1.0,146,16507.0,,,3776.0,49.0,50.52,3.34,0.023,1.0,0.68,2821.0,,99.32
